project,metadata_feature,metadata_column,metadata_type,bacteria_name,correlation_coefficient,p_value,n_samples,p_value_fdr
PRJEB37731_Control_SG,host_body_mass_index,host_body_mass_index,numeric,"k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Phocaeicola,s__Phocaeicola_vulgatus",0.04934109930956725,0.5355178585028276,160,0.8672995091000011
PRJEB37731_Control_SG,host_body_mass_index,host_body_mass_index,numeric,"k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Alistipes,s__Alistipes_putredinis",0.08207176976955198,0.3021954028461367,160,0.8672995091000011
PRJEB37731_Control_SG,host_body_mass_index,host_body_mass_index,numeric,"k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides_caccae",-0.10201522149547608,0.19926941953865646,160,0.8672995091000011
PRJEB37731_Control_SG,host_body_mass_index,host_body_mass_index,numeric,"k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides_uniformis",-0.03307130912498185,0.6780274923597918,160,0.8964101480722506
PRJEB37731_Control_SG,host_body_mass_index,host_body_mass_index,numeric,"k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Brotolimicola,s__Brotolimicola_acetigignens",-0.07170639787968927,0.36755054020045025,160,0.8672995091000011
PRJEB37731_Control_SG,host_body_mass_index,host_body_mass_index,numeric,"k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Oscillospiraceae,g__Faecalibacterium,s__Faecalibacterium_SGB15346",-0.05361901310979371,0.500693078962475,160,0.8672995091000011
PRJEB37731_Control_SG,host_body_mass_index,host_body_mass_index,numeric,"k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Odoribacteraceae,g__Odoribacter,s__Odoribacter_splanchnicus",0.0847355185896897,0.28672103480445926,160,0.8672995091000011
PRJEB37731_Control_SG,host_body_mass_index,host_body_mass_index,numeric,"k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Oscillospiraceae,g__Oscillibacter,s__Oscillibacter_sp_ER4",0.037578443518864725,0.6370883817013994,160,0.8750927220896897
PRJEB37731_Control_SG,host_body_mass_index,host_body_mass_index,numeric,"k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Eubacteriales_unclassified,g__Gemmiger,s__Gemmiger_formicilis",-0.040820252667933966,0.6082975458227216,160,0.8672995091000011
PRJEB37731_Control_SG,host_body_mass_index,host_body_mass_index,numeric,"k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Alistipes,s__Alistipes_onderdonkii",-5.902711268896548e-05,0.999408938140689,160,0.9995906819010347
PRJEB37731_Control_SG,host_body_mass_index,host_body_mass_index,numeric,"k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Tannerellaceae,g__Parabacteroides,s__Parabacteroides_merdae",0.03815703612470499,0.631908221742345,160,0.8733497222221127
PRJEB37731_Control_SG,host_body_mass_index,host_body_mass_index,numeric,"k__Bacteria,p__Firmicutes,c__Negativicutes,o__Veillonellales,f__Veillonellaceae,g__Dialister,s__Dialister_invisus",0.15581407980686082,0.04912676646264988,160,0.8672995091000011
PRJEB37731_Control_SG,host_body_mass_index,host_body_mass_index,numeric,"k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Lachnospira,s__Lachnospira_eligens",-0.0662566840889987,0.40516507769996596,160,0.8672995091000011
PRJEB37731_Control_SG,host_body_mass_index,host_body_mass_index,numeric,"k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Tannerellaceae,g__Parabacteroides,s__Parabacteroides_distasonis",-0.08023920902934152,0.31315499197373536,160,0.8672995091000011
PRJEB37731_Control_SG,host_body_mass_index,host_body_mass_index,numeric,"k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Lachnospiraceae_unclassified,s__Eubacterium_rectale",0.06684067181116797,0.40102861911440063,160,0.8672995091000011
PRJEB37731_Control_SG,host_body_mass_index,host_body_mass_index,numeric,"k__Bacteria,p__Firmicutes,c__Negativicutes,o__Acidaminococcales,f__Acidaminococcaceae,g__Phascolarctobacterium,s__Phascolarctobacterium_faecium",-0.03650109788876268,0.6467806942588279,160,0.8802125058154652
PRJEB37731_Control_SG,host_body_mass_index,host_body_mass_index,numeric,"k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Coprococcus,s__Coprococcus_eutactus",-0.011532191221549406,0.8849216590562978,160,0.9669706643956509
PRJEB37731_Control_SG,host_body_mass_index,host_body_mass_index,numeric,"k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Oscillospiraceae,g__Oscillospiraceae_unclassified,s__Eubacterium_siraeum",0.05738380560463116,0.47105898056383566,160,0.8672995091000011
PRJEB37731_Control_SG,host_body_mass_index,host_body_mass_index,numeric,"k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides_fragilis",-0.005417411982962972,0.9457946684094863,160,0.9871192669553726
PRJEB37731_Control_SG,host_body_mass_index,host_body_mass_index,numeric,"k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Clostridiaceae,g__Clostridium,s__Clostridium_sp_AM49_4BH",0.04826139692928441,0.544494458102836,160,0.8672995091000011
