SampleID,Archaea;Euryarchaeota,Bacteria,Bacteria;Acidobacteria,Bacteria;Actinobacteria,Bacteria;Bacteroidetes,Bacteria;Chlamydiae,Bacteria;Chloroflexi,Bacteria;Cyanobacteria,Bacteria;Firmicutes,Bacteria;Fusobacteria,Bacteria;Gemmatimonadetes,Bacteria;Lentisphaerae,Bacteria;Nitrospirae,Bacteria;Planctomycetes,Bacteria;Proteobacteria,Bacteria;Synergistetes,Bacteria;TM7,Bacteria;Tenericutes,Bacteria;Verrucomicrobia,Bacteria;WPS-2,Bacteria;[Thermi]
SRR33299559,0.0,0.0,0.06393768583682448,12.936956759266172,26.760954140221088,0.0,0.10275699509489647,0.6393768583682448,19.43416036228357,0.04566977559773177,0.17437550682770314,0.0,0.23976632188809177,0.0,4.305017779518771,32.48833661583643,0.0,1.3700932679319533,1.4385979313285508,0.0,0.0
SRR33299560,0.0,0.0,0.0,3.1409973873565122,49.462228492355884,0.0,0.06907141095613077,0.0,16.46314272358444,0.29930944747656674,0.0,2.997699235496076,0.12087496917322887,0.0,9.508830908294003,0.0,0.14504996300787465,0.0,17.79279546229929,0.0,0.0
SRR33299561,0.7234543361232731,0.0,0.257228208399386,40.179675242711156,34.948849391694246,0.0,0.34450206482060625,0.16076763024961624,9.401265290868674,0.5052696950702225,0.6576857601120665,0.0,0.0,0.1205757226872122,7.879420260099169,0.30143930671803043,0.14469086722465463,0.03445020648206062,3.8584231259907904,0.4823028907488488,0.0
SRR33299562,0.0,0.013607617998775452,0.004535872666258484,0.13321660808946112,0.2858675480770416,0.0,0.0,0.0,0.18559147289154487,0.040822853996326354,0.0,0.0,0.0,0.0,0.02864225211727267,0.01700952249846932,0.004082285399632637,0.0,99.28662396626521,0.0,0.0
SRR33299563,0.0,0.0,0.07324050433389367,3.4838995336000247,13.134982443497234,0.0,0.0882809650453183,0.045775315208683554,4.051992623263435,0.3073485449725895,0.04993670750038205,0.0,0.034331486406512665,0.10299445921953801,0.65011234184018,0.08582871601628167,0.16479113475126078,0.0,77.17718144184047,0.5493037825042026,0.0
SRR33299564,0.0,0.0,0.050755943315431484,56.34185555530913,13.565679395215325,0.0,0.5981950462175853,0.0,22.173450079751916,0.3987966974783903,0.346063249877942,0.0,0.0,0.38066957486573616,1.1006625909975591,0.47583696858217017,0.3045356598925889,0.0,1.9794817893018284,0.7613391497314723,1.5226782994629446
SRR33299565,0.0,0.0,0.18448181247159423,37.77866681483516,0.2625037647817151,0.0,0.5435624831752329,0.0,39.386384867356604,0.6918067967684782,0.5031322158316206,0.0,0.0,0.8647584959605978,3.544538194678945,0.6053309471724185,5.8111770928552176,0.0,7.748236123806956,2.075420390305435,0.0
SRR33299566,0.0,0.0,0.2253283389254605,3.7871080876466663,0.8249421894454854,0.0,0.18106741520795933,0.0,2.197834560207181,0.16094881351818605,0.11522471876870138,0.0,0.1056226588713096,0.1056226588713096,88.92241105516277,0.0,0.0,1.1769381988517356,2.1969513045232403,0.0,0.0
SRR33299567,0.0,0.0,0.00420226362482347,0.513178606792301,0.7015953182313968,0.0,0.013507275936932583,0.0,1.3928600451930129,0.016508892811806494,0.020056258209384746,0.0,0.0,0.015758488593088014,0.26039869540338695,0.015758488593088014,0.13552300190055694,0.0022512126561554306,96.90840145205406,0.0,0.0
SRR33299568,0.0,0.0,0.13026606032504295,3.764028373522526,54.71174533651803,0.0,0.37218874378583683,0.21711010054173813,20.536194771451452,5.365721056245816,0.3552710736137533,0.0,0.0,0.6513303016252145,3.246893750798354,1.4654931786567327,0.13026606032504295,1.6283257540630363,7.425165438527445,0.0,0.0
