SampleID,Unassigned,Bacteria,Bacteria;Actinobacteria,Bacteria;Bacteroidetes,Bacteria;Firmicutes,Bacteria;Proteobacteria
SRR25446047,41.87243596158899,57.90019129816375,0.0,0.0,0.0012745511256556817,0.2260981891215959
SRR25446051,47.45736389857091,51.441641969559996,0.0,0.005971322539355723,0.0,1.0950228093297396
SRR25446052,52.01897986769543,47.737486403262,0.0,0.006043654233492681,0.0,0.23749007480907855
SRR25446054,42.99411768523145,56.036971667194955,0.0,0.009636175371582205,0.0,0.9592744722020146
SRR25446055,13.749007163008365,86.13690584029008,0.0,0.0,0.00174159896061308,0.11234539774095642
SRR25446056,4.629118776940189,92.5319934675935,0.0,0.025720797631354354,0.0,2.813166957834961
SRR25446058,53.308284806486625,46.12100124632735,0.0,0.0,0.0,0.5707139471860279
SRR25446059,44.63188475745353,55.35751312191955,0.0,0.00852487929621589,0.002077241330693653,0.0
SRR25446060,29.328774916916828,70.45857170625132,0.0,0.0,0.0,0.2126533768318506
SRR25446061,56.30034857782908,43.69090800344974,0.0,0.007521573580582301,0.0012218451406011423,0.0
SRR25446062,46.75675069849249,53.241141382852945,0.0,0.0,0.0021079186545523254,0.0
SRR25446063,16.288156392915106,83.68707106162229,0.0,0.02477254546261033,0.0,0.0
SRR25446064,38.93806276745132,60.64579307033103,0.0,0.008641776986677951,0.0,0.40750238523095456
SRR25446066,45.42262009696963,54.54417700066775,0.0,0.006735445907843921,0.0,0.026467456454766954
SRR25446068,30.355893151306024,68.00061606179919,0.0,0.0,0.0,1.643490786894785
SRR25446069,37.33931428505451,62.575562031298574,0.0,0.0,0.0,0.08512368364691326
SRR25446070,31.625889898898922,68.16898521791384,0.0,0.007874345464030898,0.0012791513155543642,0.19597138640764217
SRR25446071,39.97036600632483,59.98591802727988,0.0,0.0,0.0021479817398371666,0.04156798465544037
SRR25446073,7.337262761902935,92.495465508086,0.0,0.007561947509982955,0.0012284037003116417,0.15848137880076954
SRR25446074,22.118979343298776,77.87775417180329,0.0,0.0,0.0032664848979414313,0.0
SRR25446077,42.821734143168044,57.14145007367238,0.0,0.0,0.0,0.03681578315958302
SRR25446079,1.21329246961586,98.59426570496666,0.0,0.0,0.0,0.19244182541747343
SRR25446083,37.491494758798055,60.88145201230715,0.0,0.0,0.0014823469383368846,1.6255708819564767
SRR25446084,57.51843586162537,42.48019031584745,0.0,0.0,0.0013738225271896925,0.0
SRR25446085,33.28942777829646,35.64256975936818,0.0,0.0,0.0006149878226064692,31.067387474512753
SRR25446086,39.921075168967974,60.04702947360081,0.0,0.0,0.0,0.03189535743121327
SRR25446087,46.00568811788979,53.933828391272534,0.0,0.0,0.0,0.06048349083768062
SRR25446090,6.912964070558727,92.74938982452345,0.0,0.015377083674897835,0.0,0.3222690212429293
SRR25446092,47.84588865589484,52.139802598655486,0.0,0.009983859561179167,0.0043248858885108,0.0
SRR25446094,70.93193871226728,28.97209330064751,0.0,0.0,0.0,0.09596798708520198
SRR25446095,43.04479190633995,55.389263460945045,0.0,0.0,0.0010250564909764298,1.564919576224017
SRR25446098,25.006971750164062,72.81281717376874,0.0,0.0,0.0,2.1802110760672044
SRR25446099,17.458780306245757,59.18267351968667,0.0,0.0,0.0,23.358546174067566
SRR25446100,53.48683065224951,46.50273036768311,0.0,0.009418937885869524,0.0010200421815264814,0.0
SRR25446102,31.947997936829886,67.64629406751568,0.0,0.007394434362121472,0.001201191957514929,0.39711236933477706
SRR25446103,11.223792032767282,88.521824814551,0.0,0.006751851902954295,0.0,0.2476313007787744
SRR25446105,31.76055597292805,31.01561106954983,0.0,0.0031119025297562906,0.0,37.220721054992374
SRR25446106,7.895727499469466,92.01199399514266,0.0,0.0,0.0,0.0922785053878661
SRR25446107,39.25708530714323,60.50875817658503,0.0,0.009464727816103633,0.0015375016365024243,0.22315428681911947
