SampleID,Unassigned,Bacteria,Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;uniformis,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Parabacteroides;,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;copri,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;onderdonkii,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;putredinis,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;S24-7;;,Bacteria;Firmicutes;Clostridia;Clostridiales,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia;,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospira;,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium;prausnitzii,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillospira;,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus;albus,Bacteria;Proteobacteria,Bacteria;Proteobacteria;Alphaproteobacteria,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Sutterella;
SRR25446102,30.683597354427295,64.9690679769962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.320932208547894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017612429447305254,0.0,3.008790030581314,0.0,0.0
SRR25446103,11.022657510665491,86.93548083404308,0.0,0.0,0.0,0.13703769498600105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7814900348180138,0.0,0.12333392548740096
SRR25446105,8.896885263787931,8.688208522144967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16213949779800438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.2527667162691,0.0,0.0
SRR25446106,7.8458517049502285,91.43077189672103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7233763983287443,0.0,0.0
SRR25446107,38.663583349222506,59.593966205449554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00862599230360359,0.0,0.0,0.0,1.7338244530243214,0.0,0.0
SRR25446109,41.13879793791595,53.87504813369441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9972307856779272,0.0,0.0,0.0,0.0,3.988923142711709,0.0,0.0
SRR25446110,37.88685011491905,61.91267946895926,0.0,0.0,0.18683718844106886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013633227680608675,0.0,0.0,0.0,0.0,0.0,0.0
SRR25446111,35.75969833051615,60.26755304832666,0.0,0.0,0.0,0.0,0.2243040654080322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010043465615285024,0.0,0.0,0.0,3.7384010901338702,0.0,0.0
SRR25446114,20.177126040147737,54.97800302356469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.84487093628757,0.0,0.0
SRR25446115,33.283098410458194,51.717201745027765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14071625941226207,0.0,0.0,0.00560064714078655,0.0,0.0,0.0,14.853382937960996,0.0,0.0
SRR25446116,62.66220904902089,37.14353159484549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1942593561336328,0.0,0.0
SRR25446117,32.59786087249502,67.07189542808715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3302436994178363,0.0,0.0
